path,id,fullterm,tooltip/en,tooltip/es,tooltip/pt,resources/dwc/href,resources/dwc/meta/name,resources/dwc/meta/source,resources/symbdocs/href,resources/symbdocs/meta/name,resources/symbdocs/meta/source
terms,associatedCollectors,Associated Collectors,"Other collectors that were present at the time of collection. Example(s): John R. Reeder, A. Nelson. This field is not defined by the Darwin Core standard, which places primary and secondary collectors concatenated the recordedBy field.",,,,Associated Collectors,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#associatedCollectors,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,associatedTaxa,Associated Taxa,"A list of the names of other species occurring with the collected specimen. Example(s): Quercus, Arctostaphylos, Ceanothus, Rhus, Eriogonum, Salvia. See Darwin Core's associatedTaxa.",,,http://rs.tdwg.org/dwc/terms/associatedTaxa,Associated Taxa,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#associatedTaxa,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,basisOfRecord,Basis of Record,"The type of record the specimen is classified as. For physical collections, this field defaults to “PreservedSpecimen” (aka herbarium specimen) and for observation projects, the default is “Observation”. Example(s): PreservedSpecimen, LivingSpecimen, Observation. See Darwin Core's basisOfRecord.",,,http://rs.tdwg.org/dwc/terms/basisOfRecord,Basis of Record,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#basisOfRecord,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,catalogNumber,Catalog Number,"The unique identifier (primary key) for the specimen record. This field should be used to store the barcode or the accession number (herbaria only). This field is enforced to be unique per collection. Example(s): WIS-L-0123456, ASU0012345, 12345. See Darwin Core's catalogNumber.",,,http://rs.tdwg.org/dwc/terms/catalogNumber,Catalog Number,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#catalogNumber,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,collectionCode,,,,,,,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#collectionCode,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,coordinateUncertaintyInMeters,Uncertainty (meters),"The accuracy of the georeference coordinates in meters (numeric value only). This is measured as the radius of a circle where the true point would be found if known. Protocols for assigning error radii to georeference points can be found in this Georeference Quick Reference Guide. Example(s): 1500, 10000. See Darwin Core's coordinateUncertaintyInMeters.",,,http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters,Uncertainty (meters),"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#coordinateUncertaintyInMeters,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,country,Country,"The name of the country in which the specimen was collected. To aid data entry, a drop down menu will appear as one types, though names outside of the list can still be entered. Example(s): United States, Canada, Mexico. See Darwin Core's country.",,,http://rs.tdwg.org/dwc/terms/country,Country,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#country,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,county,County,"The name of the county in which the specimen was collected. Choose one from the drop down menu. For specimens collected outside of the United States, enter the next geographic region below state/province. Example(s): Maricopa. See Darwin Core's county.",,,http://rs.tdwg.org/dwc/terms/county,County,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#county,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,dateIdentified,Date Identified,"The date the identification was made. Date can be entered as free form text and do not need to be in a standard date format. Example(s): 1992, May 1992, 2 May 1992. See Darwin Core's dateIdentified.",,,http://rs.tdwg.org/dwc/terms/dateIdentified,Date Identified,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#dateIdentified,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,disposition,Disposition,"The location or status of the physical specimen. Example(s): missing, on loan, cone collection. See Darwin Core's disposition.",,,http://rs.tdwg.org/dwc/terms/disposition,Disposition,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#disposition,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
